"","Team","Competition Level","Gender Division","City","State","Links","Rank","School","Power Rating","Competition Division","College Region","College Conference","Wins","Losses","Index","Rating"
"100","Santa Clara (SCAB)","College","Men","Santa Clara","CA","/teams/events/Eventteam/?TeamId=kuD8fwiwJWxO5%2fAWtxW6xhgvrxELWm3Kh0ZmLLF%2bMvM%3d",153,"Santa Clara",1051,"Division I","Southwest","NorCal DI",19,12,375,0.862244011787847
"101","Shippensburg (Scapegoats)","College","Men","Shippensburg","PA","/teams/events/Eventteam/?TeamId=nsIr61T92ky5DFTp0s6YgrgAaFFGQOj1eJVLdg2NL4U%3d",101,"Shippensburg",1276,"Division III","Ohio Valley","West Penn DIII",27,15,378,0.849753880715835
"102","California-Santa Cruz (Slugs)","College","Men","Santa Cruz","CA","/teams/events/Eventteam/?TeamId=cfoctX7h6HnBTcJTB33HRsDBjJtFuPEwZ1Lx5PVtt80%3d",127,"California-Santa Cruz",1163,"Division I","Southwest","NorCal DI",7,17,69,0.820905394124739
"103","Kansas (Horrorzontals)","College","Men","Lawrence","KS","/teams/events/Eventteam/?TeamId=mG6r0IFBBINa1CWp6WYLqabhTfLymvFKW38SQ70yvbo%3d",118,"Kansas",1194,"Division I","South Central","Ozarks DI",17,22,212,0.78376211000229
"104","Indiana (HoosierMama?s)","College","Men","Bloomington","IN","/teams/events/Eventteam/?TeamId=8pyo43VxwbfKt01fdXFBacG7DUcKcVnUcTol6Hhx5iY%3d",106,"Indiana",1259,"Division I","Great Lakes","East Plains DI",15,18,197,0.766369805034539
"105","Brandeis (TRON)","College","Men","Waltham","MA","/teams/events/Eventteam/?TeamId=3QA23uFobIKqzfw6jCyoVAq2qhUtheGJk6uT4a3rVJ4%3d",105,"Brandeis",1263,"Division III","New England","Metro Boston DIII",24,5,44,0.744543804912207
"106","Luther (Lufda)","College","Men","Decorah","IA","/teams/events/Eventteam/?TeamId=wDxsfTXVmWs38BKCaBQHdzGUSPXK6FHlTVYPJIRuTrw%3d",110,"Luther",1244,"Division I","North Central","West Plains DI",23,14,235,0.743563062778593
"107","Texas State (Buckets)","College","Men","San Marcos","TX","/teams/events/Eventteam/?TeamId=yPc3fDWldCajYIbrjA6NabVBVUtoHofP48FvbJFRb7M%3d",108,"Texas State",1255,"Division I","South Central","South Texas DI",16,13,442,0.738686431011396
"108","Minnesota-Duluth (Northern Lights)","College","Men","Duluth","MN","/teams/events/Eventteam/?TeamId=mknt3Jk4UeIV4nhJKavNAAufMXjSIy1PZgopkKNE0Gg%3d",54,"Minnesota-Duluth",1472,"Division I","North Central","Northwoods DI",22,9,266,0.725784300296549
"109","UCLA (Smaug)","College","Men","Los Angeles","CA","/teams/events/Eventteam/?TeamId=xwOlIlpT7VP1mKf7dyoTZ%2fKzFIyqj6Mt%2feRLDVXm5Ac%3d",129,"UCLA",1153,"Division I","Southwest","SoCal DI",14,12,456,0.708067116600122
"110","Carnegie Mellon (Mr. Yuk)","College","Men","Pittsburgh","PA","/teams/events/Eventteam/?TeamId=w9j2GKeBI8jzBkwNxwATCevnsj4GfbBGz4p%2fFcczMVg%3d",98,"Carnegie Mellon",1283,"Division I","Ohio Valley","West Penn DI",21,13,78,0.689742098401551
"111","Wheaton (Illinois) (Mastodon)","College","Men","Wheaton","IL","/teams/events/Eventteam/?TeamId=jNoABSpERdFbnwfyzTzhH3Ni9EfRe2DmE8OJcOxgt5c%3d",128,"Wheaton (Illinois)",1158,"Division III","Great Lakes","Illinois DIII",22,3,493,0.663129963314732
"112","Temple (Alert)","College","Men","Philadelphia","PA","/teams/events/Eventteam/?TeamId=bynADsBIHvxtxO2hdCNxYFi%2ft%2fnSqRHoEm9DGVT2nU8%3d",112,"Temple",1236,"Division I","Ohio Valley","East Penn DI",18,18,426,0.642052600037698
"113","Union (Tennessee) (Union Jaxx)","College","Men","Jackson","TN","/teams/events/Eventteam/?TeamId=VeYvdYGtwNuUJouCdTqjKy4x1B4XsltaqEPlidlJXkY%3d",120,"Union (Tennessee)",1187,"Division III","Southeast","Western Southeast DIII",18,13,457,0.628465698231583
