"","Team","Competition Level","Gender Division","City","State","Links","Rank","School","Power Rating","Competition Division","College Region","College Conference","Wins","Losses","Index","Rating"
"41","Harvard (Red Line)","College","Men","Cambridge","MA","/teams/events/Eventteam/?TeamId=GR%2f7FpUMAHYiCNUZ6dwVZjArqD2Qxokk36oXiSKGk9Y%3d",28,"Harvard",1668,"Division I","New England","Metro Boston DI",15,14,182,2.50303956009791
"42","LSU (LSU Ultimate)","College","Men","Baton Rouge","LA","/teams/events/Eventteam/?TeamId=zpSOdcDSsYKTG2%2fMo2U%2bP5D9eTwxhNYAMM6XVAZhCLc%3d",44,"LSU",1577,"Division I","Southeast","Gulf Coast DI",30,12,233,2.47487709267024
"43","James Madison (Hellfish)","College","Men","Harrisonburg","VA","/teams/events/Eventteam/?TeamId=DdcUab8gUmqIIJaDfsz5MBnRuk23KhzHkFPRQ%2f7lWYs%3d",31,"James Madison",1649,"Division I","Atlantic Coast","Virginia DI",23,8,206,2.44759630036425
"44","Penn State (Spank)","College","Men","State College","PA","/teams/events/Eventteam/?TeamId=UtA3lYk3CKAms8pBRbK2pGtrYVaf4I482HqHjsUbAEI%3d",42,"Penn State",1594,"Division I","Ohio Valley","West Penn DI",20,7,332,2.37648372098478
"45","Ohio State (Leadbelly)","College","Men","Columbus","OH","/teams/events/Eventteam/?TeamId=YQyMLUencDbRAvnLTZ8eUVDvddbcRu1Rpp%2fvsi6%2b%2fes%3d",62,"Ohio State",1441,"Division I","Ohio Valley","Ohio DI",26,17,318,2.35300182308674
"46","Air Force (Afterburn)","College","Men","USAF Academy","CO","/teams/events/Eventteam/?TeamId=fpIytPB8Dx8D%2bL%2fkzLPPlRYLVEip8jnSUOtmSvMfe9g%3d",82,"Air Force",1365,"Division III","South Central","Northern South Central DIII",29,4,1,2.30145326158717
"47","Tufts (Elephant Men)","College","Men","Medford","MA","/teams/events/Eventteam/?TeamId=J4AliUeh5ZlPjYBlgF%2bpjmbHcK4HYGn5gkhf5yGrBBI%3d",24,"Tufts",1704,"Division I","New England","Metro Boston DI",7,11,453,2.14042820764363
"48","William & Mary (Darkhorse)","College","Men","Williamsburg","VA","/teams/events/Eventteam/?TeamId=BT6dvz9i297AHGqETMr9lgFLtyCBruZKHSjJd%2bktZkk%3d",64,"William & Mary",1437,"Division I","Atlantic Coast","Virginia DI",20,14,498,2.1383632299534
"49","Texas Tech (Tumbleweed)","College","Men","Lubbock","TX","/teams/events/Eventteam/?TeamId=h4NQwK%2fuKG%2f3LccB%2fBTTnMENJYYD7mDdwMHpcL53CLA%3d",45,"Texas Tech",1574,"Division I","South Central","North Texas DI",24,4,443,2.07960978650146
"50","Northeastern (Huskies)","College","Men","Boston","MA","/teams/events/Eventteam/?TeamId=MhzZVzBDtrZbw%2fP8ZZEAL3yUx%2fdFP8JewePv6OHdHRY%3d",32,"Northeastern",1646,"Division I","New England","Metro Boston DI",21,9,302,2.06875343580105
"51","California-San Diego (Air Squids)","College","Men","San Diego","CA","/teams/events/Eventteam/?TeamId=g%2b5fP8ugcD%2bL221WEoSTUmqynJ0Y9IB8S%2fEbDOoChRI%3d",65,"California-San Diego",1436,"Division I","Southwest","SoCal DI",13,15,65,2.04182396956169
"52","Colorado College (Wasabi)","College","Men","Colorado Springs","CO","/teams/events/Eventteam/?TeamId=3x6AvfTJCnboUJDh5njMg7rapfixLdypMISpRG3T2Ds%3d",63,"Colorado College",1438,"Division III","South Central","Northern South Central DIII",25,4,109,1.95201538256626
"53","Villanova (Main Line Ultimate)","College","Men","Villanova","PA","/teams/events/Eventteam/?TeamId=9lBthNu%2fVQzijesSj9EhIFh6Neq8MCxBUn%2fhVEEcj3M%3d",50,"Villanova",1503,"Division I","Ohio Valley","East Penn DI",23,12,469,1.94569807111047
"54","Montana State  (Rum Runners)","College","Men","Bozeman","MT","/teams/events/Eventteam/?TeamId=K4NGflpVOgSAJTJEbD5qCe5sxkF9ZsO5QqXmH6jVpac%3d",34,"Montana State",1633,"Division I","Northwest","Big Sky DI",21,6,278,1.93794217292019
"55","Amherst (Army of Darkness)","College","Men","Amherst","MA","/teams/events/Eventteam/?TeamId=5XztlUO8fKUtXXqkLhCuAMq24DTRwURDdSrB7GI6h5k%3d",76,"Amherst",1384,"Division III","New England","South New England DIII",22,7,12,1.8364063119662
"56","Emory (Emory Juice)","College","Men","Atlanta","GA","/teams/events/Eventteam/?TeamId=eWCzyIv%2bSrZj08gDeJjqfsjGStcMk10ToMQ9iLcKGRA%3d",72,"Emory",1416,"Division I","Southeast","Southern Appalachian DI",20,11,144,1.73922365357622
"57","Richmond (Spidermonkeys)","College","Men","Richmond","VA","/teams/events/Eventteam/?TeamId=BOu52yIpK8UabwRgnYVxum02k8MsmgUjS3WHjqARGCg%3d",58,"Richmond",1457,"Division III","Atlantic Coast","Northern Atlantic Coast DIII",18,11,356,1.72190961534231
"58","Clemson (Joint Chiefs of Waft)","College","Men","Clemson","SC","/teams/events/Eventteam/?TeamId=tc9UyJTaX5LKMgJ535CxjSMVhuhozup31vjSyx3q4d4%3d",70,"Clemson",1418,"Division I","Atlantic Coast","Carolina DI",16,18,100,1.6435468400267
"59","Arizona (Sunburn)","College","Men","Tucson","AZ","/teams/events/Eventteam/?TeamId=H93i66n4VjFjKgUI87xcd%2fQQ7QUTJx2CqHB9JmcMcec%3d",61,"Arizona",1444,"Division I","Southwest","Desert DI",12,8,15,1.54745645862536
"60","Carleton College-GoP (Gods of Plastic)","College","Men","Northfield","MN","/teams/events/Eventteam/?TeamId=SFOuSxNgXNRdrhe50SdBj4XRfw62Yz1tuY9INL3X20Y%3d",87,"Carleton College-GoP",1328,"Division III","North Central","Northwoods DIII",20,6,76,1.52675798120328
"61","California-Davis (Davis Dogs)","College","Men","Davis","CA","/teams/events/Eventteam/?TeamId=3G7ypWKmtCe2LN%2fpG9J0z8%2fFPmuJUgjt0yeB0HVwu4s%3d",97,"California-Davis",1283,"Division I","Southwest","NorCal DI",17,15,61,1.50366956833012
"62","George Washington (G-Dub Hippos)","College","Men","Washington","DC","/teams/events/Eventteam/?TeamId=bYgFb61CtHM6%2bRdfAs3JRH6dvZQX7Qnfnsn1nqK8Yv0%3d",55,"George Washington",1469,"Division I","Atlantic Coast","Colonial DI",20,6,161,1.49722862560313
"63","Iowa (IHUC)","College","Men","Iowa City","IA","/teams/events/Eventteam/?TeamId=HWJ8nhw8QNNAbnOJB%2fSgNhcyE9R22HzK70wiIvrc98U%3d",102,"Iowa",1275,"Division I","North Central","West Plains DI",24,20,200,1.47793891460589
"64","Illinois (Illinois Ultimate)","College","Men","Champaign","IL","/teams/events/Eventteam/?TeamId=Dt%2fGNzRwOX8%2bfQu6yc0cHFo89pJVTkxCCrMJRbpVnpY%3d",46,"Illinois",1561,"Division I","Great Lakes","Illinois DI",12,13,193,1.47133106976841
"65","Maryland (Maryland Ultimate)","College","Men","College Park","MD","/teams/events/Eventteam/?TeamId=vpO8IDzh0CE7pgnQnnC%2fSHS8GzgkuiKxuhA%2bX81C1EE%3d",53,"Maryland",1481,"Division I","Atlantic Coast","Colonial DI",25,9,245,1.45254377972519
"66","Georgia Tech (Tribe)","College","Men","Atlanta","GA","/teams/events/Eventteam/?TeamId=MT%2fVWJEI5XhmTVdRDaQhMbrckbFJu%2fObwFy0ytoRsMw%3d",66,"Georgia Tech",1435,"Division I","Southeast","Southern Appalachian DI",15,20,171,1.43248618992332
"67","Utah (Zion Curtain)","College","Men","Salt Lake City","UT","/teams/events/Eventteam/?TeamId=ACht8mbdzA85YKm7LLn3aa1IQFIEzIagbVS%2f5%2flwfgo%3d",49,"Utah",1521,"Division I","Northwest","Big Sky DI",14,12,460,1.41983060822679
"68","Arkansas (Ludicrous Speed )","College","Men","Fayetteville","AR","/teams/events/Eventteam/?TeamId=1E%2bmReGQ87HZpY3bfSryJwrMu5%2fwJB7g1XHH0e8AxCM%3d",52,"Arkansas",1495,"Division I","South Central","Ozarks DI",12,10,20,1.39292262811225
"69","John Brown (Ironfist)","College","Men","Siloam Springs","AR","/teams/events/Eventteam/?TeamId=CTVb1gnmHNTikOYyZqvozB83tJJUwUzfRvkyYdpSbQk%3d",57,"John Brown",1457,"Division III","South Central","Northern South Central DIII",24,8,207,1.35019422517109
"70","Georgia Southern (Eagles)","College","Men","Statesboro, GA","GA","/teams/events/Eventteam/?TeamId=oDJlTMVtKHZS%2blHUtJbh5Q2469DPsGadXgJ1wf0CtZM%3d",75,"Georgia Southern",1386,"Division I","Southeast","Southern Appalachian DI",21,12,168,1.33470198534049
"71","Tennessee (Agent Orange)","College","Men","Knoxville","TN","/teams/events/Eventteam/?TeamId=KSrojy1smBAQRLAkb%2bco%2b7qDvP4gDX4Plbm19SHH9qY%3d",90,"Tennessee",1315,"Division I","Southeast","Southern Appalachian DI",18,15,428,1.33300627282401
"72","Utah State (USULT)","College","Men","Logan","UT","/teams/events/Eventteam/?TeamId=Nx5eI1C0406esrkKxq%2bst9V%2brnPyrb5qnlv9OV3LnL4%3d",86,"Utah State",1330,"Division I","Northwest","Big Sky DI",16,15,461,1.30429295402027
"73","Nevada-Reno (Elevation Ultimate)","College","Men","Reno","NV","/teams/events/Eventteam/?TeamId=LGmXODDnfZGIuZFbx05UItT9fnR8ilhrfbp7faftM%2bo%3d",79,"Nevada-Reno",1376,"Division I","Southwest","NorCal DI",22,16,284,1.28332548571641
