"","Team","Wins","Losses","Competition Level","Gender Division","City","State","Links","Index","Rating"
"111","Wheaton (Illinois) (Mastodon)",31,4,"College","Men","Wheaton","IL","/teams/events/Eventteam/?TeamId=jNoABSpERdFbnwfyzTzhH3Ni9EfRe2DmE8OJcOxgt5c%3d",493,0.711583872200706
"112","Brandeis (TRON)",42,8,"College","Men","Waltham","MA","/teams/events/Eventteam/?TeamId=3QA23uFobIKqzfw6jCyoVAq2qhUtheGJk6uT4a3rVJ4%3d",44,0.69454352111187
"113","Cornell (Buds)",30,30,"College","Men","Ithaca","NY","/teams/events/Eventteam/?TeamId=sDD7hdoa9yAG%2fWGRunEnD3BuYHNpjkMEWM%2btyANPaQM%3d",119,0.687784410419033
"114","Kansas (Horrorzontals)",34,38,"College","Men","Lawrence","KS","/teams/events/Eventteam/?TeamId=mG6r0IFBBINa1CWp6WYLqabhTfLymvFKW38SQ70yvbo%3d",212,0.683457407378907
"115","Mississippi (HYDRa)",40,26,"College","Men","Oxford","MS","/teams/events/Eventteam/?TeamId=0lfD2%2fhUDkHMZ7CLgGwtvX55DgFxZY3nJ0NKcpKwbMg%3d",269,0.662591991529746
"116","UCLA (Smaug)",21,13,"College","Men","Los Angeles","CA","/teams/events/Eventteam/?TeamId=xwOlIlpT7VP1mKf7dyoTZ%2fKzFIyqj6Mt%2feRLDVXm5Ac%3d",456,0.661857958848342
"117","High Point (High Point University Bagheera)",32,28,"College","Men","High Point","NC","/teams/events/Eventteam/?TeamId=V55BdEw6QV0qWkHBbMitCw%2bYekb4Sz%2fbdjf7QccvD7o%3d",184,0.659941631180346
"118","Wisconsin-Whitewater (Sub*Par)",24,11,"College","Men","Whitewater","WI","/teams/events/Eventteam/?TeamId=WLENu4moC2USmixCOwUqUUlu%2fIBkH2333zqbaOYhEKM%3d",514,0.653024695813776
"119","Temple (Alert)",24,31,"College","Men","Philadelphia","PA","/teams/events/Eventteam/?TeamId=bynADsBIHvxtxO2hdCNxYFi%2ft%2fnSqRHoEm9DGVT2nU8%3d",426,0.636332631486161
"120","MIT (Grim Beaver)",20,8,"College","Men","Cambridge","MA","/teams/events/Eventteam/?TeamId=di88oqxrUWAbUAbWvnEIPpZ2Xt2SVeR%2fDee0nxnbHiY%3d",275,0.631546592476945
"121","Georgetown (Catholic Justice)",26,32,"College","Men","Washington","DC","/teams/events/Eventteam/?TeamId=xji%2fAev%2fUFxJ%2bIiurk53yZqMsyHlKb7s91MfT%2boVty8%3d",163,0.62696549765952
"122","Union (Tennessee) (Union Jaxx)",20,21,"College","Men","Jackson","TN","/teams/events/Eventteam/?TeamId=VeYvdYGtwNuUJouCdTqjKy4x1B4XsltaqEPlidlJXkY%3d",457,0.624971117267829
"123","Alabama (Yellow Hammer)",40,22,"College","Men","Tuscaloosa","AL","/teams/events/Eventteam/?TeamId=Fy7ndC0YiChGMO1BqxR7nhD2Wg3a3vBOqOPe0XaIAfs%3d",7,0.613789394638703
"124","North Texas (UNT illeagles)",21,29,"College","Men","Denton","TX","/teams/events/Eventteam/?TeamId=3TRnXf4DHTXmYmg5ubEVrWhWuSNL9fANTclqIYCkHZg%3d",300,0.605987396552616
