"","Team","Competition Level","Gender Division","Competition Division","College Region","College Conference","Wins","Losses","Links","Rating"
"119","Wisconsin-Eau Claire","College","Men","Division I","North Central","Lake Superior DI","15","9","/teams/events/Eventteam/?TeamId=oTPLE%2f13NbexIWAeKskflYxJbemze9VL4AIgqKz5pzE%3d",0.262176754769235
"120","St John's","College","Men","Division III","North Central","Northwoods DIII","8","4","/teams/events/Eventteam/?TeamId=d%2bhiWC16Ole23Yn9DIM9LqcsyicgDbjTpKMlWLSKTUk%3d",0.249766806912257
"121","Liberty","College","Men","Division I","Atlantic Coast","Virginia DI","9","11","/teams/events/Eventteam/?TeamId=IMuvM5U1f%2fVlS79c%2bVlh9ET2t4hj4oSvNkENt20MJos%3d",0.235907109765403
"122","Texas A&M B","College","Men","Developmental","South Central","South Texas DI","8","2","/teams/events/Eventteam/?TeamId=%2b%2bXs0wZalmdzrfBu6wIp9s%2bhlPSepktRiZVUvYs5wI4%3d",0.231054793917897
"123","Georgia College","College","Men","Division III","Southeast","Eastern Southeast DIII","10","8","/teams/events/Eventteam/?TeamId=I7jQiLoR4Wi0nHMqyMmdZ7Ut9c4VWldLMoP2HnFxBWg%3d",0.214967886273296
"124","Whitman","College","Men","Division I","Northwest","Northwest DIII","7","7","/teams/events/Eventteam/?TeamId=pWhAvD22y8UdAprDxT%2bnE5UP4wsaapvQSmzp6kjZKSQ%3d",0.214087871420561
"125","Texas-Dallas","College","Men","Division I","South Central","North Texas DI","10","6","/teams/events/Eventteam/?TeamId=ZiwD8eKNnkXY5HoTiF%2bPyqsmjksh1CSMRrvkYIUdpRk%3d",0.21400560217233
"126","Michigan State","College","Men","Division I","Great Lakes","Michigan DI","6","8","/teams/events/Eventteam/?TeamId=BbBQpnXbg0B1Rz%2bFPbAQbk0SMuTUbz1Is3KZGfJrHvg%3d",0.211459936676696
"127","Boston College","College","Men","Division I","New England","Metro Boston DI","7","4","/teams/events/Eventteam/?TeamId=T4Sv9bJTXNc3iLXE2kz5dTdsJ3k21rrfugxLEhdjUyo%3d",0.209752576554401
"128","Johns Hopkins","College","Men","Division I","Atlantic Coast","Colonial DI","8","12","/teams/events/Eventteam/?TeamId=%2bWTF70g3CHNXwsONnrGF6kboDX8JAZQcpvfIs4yI6Oo%3d",0.20896020411142
"129","Georgia State","College","Men","Division I","Southeast","Southern Appalachian DI","4","12","/teams/events/Eventteam/?TeamId=0JsYDH5zmHzNn%2b9do%2bb53vhchcW5HfS2Ud03Rc7uG2c%3d",0.207217358412554
"130","Saint Louis","College","Men","Division I","South Central","Ozarks DI","11","7","/teams/events/Eventteam/?TeamId=yYSwXY2i9gEUMvYxONjJtA2kSQfNyXIuBtcSLipbums%3d",0.20641482839202
"131","Princeton","College","Men","Division I","Metro East","Metro NY DI","8","5","/teams/events/Eventteam/?TeamId=rQkIWkXQej3%2fsDUA0r9gzfBHjx0UVq0UtZvFPsdPkj0%3d",0.204947556356033
"132","San Diego State","College","Men","Division I","Southwest","SoCal DI","10","14","/teams/events/Eventteam/?TeamId=v27vxnLD06K9Zdl3dYivD9D1EqpkhmvgvA6iw9sreuQ%3d",0.203924102488261
"133","Portland","College","Men","Division III","Northwest","Northwest DIII","12","4","/teams/events/Eventteam/?TeamId=1qMSY9s2z1fz9zrsBwRnIKblujosHLq20202RDEaVwo%3d",0.190987068177276
"134","Chico State","College","Men","Division I","Southwest","NorCal DI","14","7","/teams/events/Eventteam/?TeamId=CaCjKSXvAkJeonRDyI1WzpVx11VStzvHcwml0n2Z8vY%3d",0.190790886891605
"135","Mississippi State","College","Men","Division I","Southeast","Gulf Coast DI","11","14","/teams/events/Eventteam/?TeamId=AkNJpncB8StV46G%2femh%2fscGD1isVYQvkdD%2bXZT7qvao%3d",0.189550366678754
"136","Duke","College","Men","Division I","Atlantic Coast","Carolina DI","8","10","/teams/events/Eventteam/?TeamId=F5D4gEB%2b4TiO507xjaNd9Pd1PpTU7qmXdeQs47VyqQk%3d",0.186878071398779
"137","Brandeis","College","Men","Division III","New England","Metro Boston DIII","11","2","/teams/events/Eventteam/?TeamId=3QA23uFobIKqzfw6jCyoVAq2qhUtheGJk6uT4a3rVJ4%3d",0.186294758787471
"138","Alabama-Birmingham","College","Men","Division I","Southeast","Gulf Coast DI","7","18","/teams/events/Eventteam/?TeamId=fELZWpSEzioofgXJuroLaxe2iLXkCdO9BAT6owBt3gg%3d",0.18442310522255
"139","Miami (Ohio)","College","Men","Division I","Ohio Valley","Ohio DI","2","9","/teams/events/Eventteam/?TeamId=sOn7D%2bLOD8zSaeN%2f3%2bekoBUHeqVOWxH9eFCug%2f%2f88gM%3d",0.178123104960522
"140","Lewis & Clark","College","Men","Division III","Northwest","Northwest DIII","8","3","/teams/events/Eventteam/?TeamId=MYFVLmUmE7W%2bxHrMZk27Y4oimt3x8XO%2bBVdaBvqTlLU%3d",0.175876256104433
"141","Knox","College","Men","Division III","Great Lakes","Illinois DIII","13","6","/teams/events/Eventteam/?TeamId=0qfpsFOFzBh3S7DSsowt1Yqccp4WEBMxVkkd8NI%2bCmE%3d",0.171637393559142
"142","Vanderbilt","College","Men","Division I","Southeast","Gulf Coast DI","10","7","/teams/events/Eventteam/?TeamId=viUfnl6I2l%2bFOxFHsrloXazBe60Hv0egAivVhqA8kbI%3d",0.169938556458401
"143","American","College","Men","Division I","Atlantic Coast","Colonial DI","12","9","/teams/events/Eventteam/?TeamId=dONAg4zdJqvI8BPsCrBe6NOvFapyugN6BIFKsKBsm0U%3d",0.160828234389289
"144","UCLA","College","Men","Division I","Southwest","SoCal DI","10","5","/teams/events/Eventteam/?TeamId=xwOlIlpT7VP1mKf7dyoTZ%2fKzFIyqj6Mt%2feRLDVXm5Ac%3d",0.158283468255713
"145","Miami","College","Men","Division I","Southeast","Florida DI","12","8","/teams/events/Eventteam/?TeamId=fGa8tvuSpxeV5usYdt04ssudkQ%2bepHquurfsV9X4WPg%3d",0.157624184607923
"146","Marquette","College","Men","Division I","North Central","Lake Superior DI","12","0","/teams/events/Eventteam/?TeamId=VQztMHq2ylsdj0cfLMz%2b8Hxd5w6fD8jfrUZ1o3kf0ew%3d",0.152408849736404
"147","Towson","College","Men","Division I","Atlantic Coast","Colonial DI","4","13","/teams/events/Eventteam/?TeamId=evMkBr3H4vGohZl6eX44eZPcum4VRT3OYLClMHx363w%3d",0.150252966656053
"148","Colorado School of Mines","College","Men","Division III","South Central","Northern South Central DIII","9","9","/teams/events/Eventteam/?TeamId=1lHNidtRY3%2fJviPrmGI5MXUTckwp3n0v9HktLJCQnQs%3d",0.149314337028035
"149","Grand Valley State","College","Men","Division I","Great Lakes","Michigan DI","9","3","/teams/events/Eventteam/?TeamId=qqYPxOPF28JSoS9WiQ1wzVl53fAdOWRvB9AWaaI9EDc%3d",0.146340908095971
"150","Akron","College","Men","Division I","Ohio Valley","Ohio DI","7","6","/teams/events/Eventteam/?TeamId=rFoAL46KGXy%2fSm83z1X8L0L2oytNISIYsU1DBrfmgZM%3d",0.146298524723737
"151","East Carolina","College","Men","Division I","Atlantic Coast","Carolina DI","6","15","/teams/events/Eventteam/?TeamId=NOfaWwZo%2fsolxl%2bJB17wpFt2SiMCu0UcfzgH9uzgM3c%3d",0.144884795038076
"152","Edinboro","College","Men","Division I","Ohio Valley","West Penn DI","11","7","/teams/events/Eventteam/?TeamId=nPpJKdHTD2%2b4KHTtAPACfEyYsOFkq7FS%2bcNRAd8lNgU%3d",0.14476807436012
"153","NYU","College","Men","Division I","Metro East","Metro NY DI","7","9","/teams/events/Eventteam/?TeamId=aufgVHUnmlD4WTDWxCN66q%2fYdWGnWDOeeTqlsx6rNpw%3d",0.143175552767879
"154","Occidental","College","Men","Division III","Southwest","Southwest DIII","8","7","/teams/events/Eventteam/?TeamId=ofp5lL7gSfeN9g1JMez%2bOy897NILIg3WOtfbkm6llGY%3d",0.141997024196119
"155","Santa Clara","College","Men","Division I","Southwest","NorCal DI","9","6","/teams/events/Eventteam/?TeamId=kuD8fwiwJWxO5%2fAWtxW6xhgvrxELWm3Kh0ZmLLF%2bMvM%3d",0.14152748267395
"156","Rice","College","Men","Division III","South Central","Texas DIII","6","8","/teams/events/Eventteam/?TeamId=8hYqMmABou0kA9%2fT%2fckGrUG9SwtGyk2eOgXawYNWgN8%3d",0.141102364474724
"157","New Hampshire","College","Men","Division I","New England","North New England DI","4","9","/teams/events/Eventteam/?TeamId=%2b8ai2ns211h94qsKdsCL9LwakpqRxG012zLScfgxidI%3d",0.13588376515904
"158","West Chester","College","Men","Division I","Ohio Valley","East Penn DI","13","9","/teams/events/Eventteam/?TeamId=qGw1m%2bmGzQhbZStKGvMSucQkl233rPpWNkO5AxIomDY%3d",0.133245562928657
"159","Pennsylvania","College","Men","Division I","Ohio Valley","East Penn DI","8","20","/teams/events/Eventteam/?TeamId=N4tGgiijID79HzFUMm1lIFGVQda%2f7PQE%2fkoOcfoL5Wk%3d",0.132839478813195
"160","Pittsburgh B","College","Men","Developmental","Ohio Valley","Ohio Valley Dev","14","6","/teams/events/Eventteam/?TeamId=E5Kfa6ICgOTCiFic4z5LbfkcOvtDj5nOKq%2fC9%2fE10Hc%3d",0.131655348853993
"161","Humboldt State","College","Men","Division I","Southwest","NorCal DI","9","9","/teams/events/Eventteam/?TeamId=ktcIqJHEUwa6ARFpvn5oGM5RIV1%2bR0ONqxVGOvaTJCk%3d",0.129689635938942
"162","Dayton","College","Men","Division I","Ohio Valley","Ohio DI","8","3","/teams/events/Eventteam/?TeamId=qSM2O%2fvcOEgI%2ffEEk%2fNkurBYOEZLZR%2bkb9Ci5xo5MCE%3d",0.127251127836858
"163","Bates","College","Men","Division III","New England","North New England DIII","12","6","/teams/events/Eventteam/?TeamId=%2b4gm1%2bik3WlKxSF65M%2fr1MMCdydfPS9aFzpnmrJhasM%3d",0.125135272782035
"164","Texas Christian","College","Men","Division I","South Central","North Texas DI","11","9","/teams/events/Eventteam/?TeamId=E1MLj45mT5byioM1EbTrgFLod4zfur%2bDg%2fvfUUZgcAs%3d",0.124168556220275
"165","Kansas State","College","Men","Division I","South Central","Ozarks DI","9","9","/teams/events/Eventteam/?TeamId=P5OopdYXgb%2bF8DQuvXVFaQf4UkDGaTG8jm4K05dE9y0%3d",0.123076873124875
"166","Haverford","College","Men","Division III","Ohio Valley","East Penn DIII","13","11","/teams/events/Eventteam/?TeamId=Dfqz%2beW75o8%2bNMB02W49X8daFAhJAQ5j1zr%2fII2Js%2fg%3d",0.121688613320337
"167","Harding","College","Men","Division III","South Central","Northern South Central DIII","6","5","/teams/events/Eventteam/?TeamId=SRaXosNiWmrB0gF2%2bv6q%2faHVohC0ZABbznwu7QzeRVI%3d",0.119844532081477
"168","Northern Arizona","College","Men","Division I","Southwest","Desert DI","5","7","/teams/events/Eventteam/?TeamId=gBJZqIleakKjm1D4Q66PZpwLZ9WMHqtAaJcfm8vA8dQ%3d",0.117526061072974
"169","Wooster","College","Men","Division III","Ohio Valley","Ohio DIII","4","6","/teams/events/Eventteam/?TeamId=TIs5hU96REPv9d1XtH2X7BEm%2fk%2fODB40W6LlDzUTdx8%3d",0.113000833911157
"170","Missouri","College","Men","Division I","South Central","Ozarks DI","9","10","/teams/events/Eventteam/?TeamId=M%2bqHPpOv2pFU1Pv6eNc78su%2fqhLDJy3Yu%2fqCxPLNXs0%3d",0.112723826634708
