"","Team","Wins","Losses","Competition Level","Gender Division","City","State","Links","Index","Rating"
"83","Orem High School (Bestia Ultimate (A))",1,3,"High School","Boys","Orem","UT","/teams/events/Eventteam/?TeamId=almzcmaNacEKU%2fsljhfePM1fW%2bJH2AlM2xeYyQrrfrk%3d",106,0.0156025474802942
"84","Hydra's High School-B (Hydra's High School)",0,3,"High School","Boys","Carrboro","NC","/teams/events/Eventteam/?TeamId=HL9aB11MubqQMqv7ZSsMb3G%2bUcnc5Qtvg4oLY7geRUQ%3d",65,0.0136619598977039
"85","Fox Valley Fusion A (Fox Valley Fusion A)",2,4,"High School","Boys","West Dundee","IL","/teams/events/Eventteam/?TeamId=bL7xie04zQNTW0qifXHw5CtwKG76otlfw7wNKNi0G3o%3d",55,0.0121002249143777
"86","Ben Franklin Academy-JV (Storm )",3,5,"High School","Boys","Atlanta","GA","/teams/events/Eventteam/?TeamId=YwYbkuZR9I8CdX8CxmwnO4VuFCrfeNLo6WbtH5QPV50%3d",6,0.0111912055299348
"87","Myers Park High School (Myers Park Mustangs)",1,6,"High School","Boys","Charlotte","NC","/teams/events/Eventteam/?TeamId=KdSMzZB6RC%2bcTnWox15rHNtdks37IOvP0kFQLXoMHgI%3d",98,0.00774354429059906
"88","Fairview High School (Fairview Boys)",4,1,"High School","Boys","Boulder","CO","/teams/events/Eventteam/?TeamId=VO92bdJSd3kIz4w1Ptmf1I1Z1%2fMZRzqxUSmlfWlg4Ao%3d",51,0.00719851529083976
"89","Brebeuf Braves Ultimate A (Braves Ultimate A)",2,6,"High School","Boys","Indianapolis","IN","/teams/events/Eventteam/?TeamId=%2f8j4amDgHkpD%2bKOwVAyUQBPAzl4JQBnben54hViOaXc%3d",12,0.0064201770589864
"90","Neuqua Valley-B (NV Ultimate - B)",5,2,"High School","Boys","Naperville","IL","/teams/events/Eventteam/?TeamId=AckFq4e7de4jY0VEGKskuCQ8j3K2luoNOkjUThuAW5I%3d",100,0.00560549102102991
"91","Brookwood-B (Inferno )",3,4,"High School","Boys","Snellville","GA","/teams/events/Eventteam/?TeamId=2hUgKdnBpxLc2jkv22%2fFubrRtJpWSi5rundN7ZoCEBw%3d",14,0.00513267507235512
"92","Weddington High School (Weddington Warriors)",2,1,"High School","Boys","Charlotte","NC","/teams/events/Eventteam/?TeamId=GviuH4CoX%2biQ6%2f6boC4f7iHLeJmxEeXUOXnSxRoG0oM%3d",130,0.00460007342150398
"93","Forsyth Central High School (Bulldogs)",1,1,"High School","Boys","Cumming","GA","/teams/events/Eventteam/?TeamId=albZCKfXxCOyMjzTBHe4pzYqKQrpMVdrqKsbkqYm3bo%3d",54,0.00394901441273088
"94","Oregon High School-B (Panther Ultimate)",1,3,"High School","Boys","Oregon","WI","/teams/events/Eventteam/?TeamId=Vo1Ep2wrwW2E6Gmi%2fSTxEPJPxDJJSIMpS3KLkGISlK4%3d",105,0.0037878787878788
"95","Carmel High School (Carmel Construction)",1,1,"High School","Boys","Carmel","IN","/teams/events/Eventteam/?TeamId=asXBXL3xn0z84lCtKmdNCr%2f31GhV9zhRhl%2bXuWwAFNg%3d",16,0.00335956823144196
"96","Timpview High School-B (Timpview HS)",0,11,"High School","Boys","Provo","UT","/teams/events/Eventteam/?TeamId=WN6b1YzLbvCZ1kCvt9kiMx1CXkoWcvywVeHFG7J2e04%3d",125,0.00315721099062809
"97","Woodward Academy-JV (War Eagles)",0,7,"High School","Boys","College Park","GA","/teams/events/Eventteam/?TeamId=262Ism614ZV2WGUv6wClIG1WsEOhyK%2bsVgdWqGu4YOw%3d",137,0.00274449018443421
"98","Columbine High School (Rebel Disc Ultimate)",5,3,"High School","Boys","Littleton","CO","/teams/events/Eventteam/?TeamId=ONiZUT7VrRsBhh8rVjPlqI5I8EvHf0feWCjYQS1VOGI%3d",33,0.00246358529314043
"99","Independence High School (Flight)",1,3,"High School","Boys","Thompsons Station","TN","/teams/events/Eventteam/?TeamId=WCSfeGZ3iYOT0mucfhPEi54A1Ysc2CIinTgfFAr4YSY%3d",66,0.00198451506884347
"100","Littleton High School (LION ULTIMATE)",3,3,"High School","Boys","Littleton","CO","/teams/events/Eventteam/?TeamId=ndZ5tedgF2RnIIIOAQCt1OyQRWfnbWFSXO6szPTtDXU%3d",85,0.00168861415666101
"101","Ames High School (Parallel)",0,2,"High School","Boys","Ames","IA","/teams/events/Eventteam/?TeamId=nn9wZb5ZjT%2faefeJWIMIPSH7IXb%2fFkHsTWgsTYCUTD4%3d",3,0.00156802138605001
"102","South Forsyth High-JV (South Forsyth War Eagles)",0,1,"High School","Boys","Cumming","GA","/teams/events/Eventteam/?TeamId=yYU%2f%2fR%2f6y1ZvXBwJRsmkPMJoBIXJ0XUy2Vd%2fB1ABsPU%3d",119,0.00137299085008192
"103","Moeller (Savage)",1,4,"High School","Boys","Cincinnati","OH","/teams/events/Eventteam/?TeamId=wFyPiejQ9doxC0g6kQGDeW6lUAzPnBKFcak4W0lbH%2b8%3d",94,0.00103748993557883
"104","Lebanon High School (Warriors Open)",5,5,"High School","Boys","Lebanon","OH","/teams/events/Eventteam/?TeamId=Ygqe%2bJBsWaj2hPo%2fFtg83PThmM5t9KDyentzo3XZJOQ%3d",84,0.00103516048649314
"105","The New School-JV (TNS Owls)",0,1,"High School","Boys","Atlanta","GA","/teams/events/Eventteam/?TeamId=UcFX6CiCjsGrl7SENRqCSOEhz4pQgfNGvfICPUPTbjc%3d",124,0.000999252382695237
"106","Perry Meridian High School (Perry Meridian Falcons)",9,3,"High School","Boys","Indianapolis","IN","/teams/events/Eventteam/?TeamId=2HUQ15ri5uAvV20gNa8h5gXj8b3kLLjGnj9G9wZI%2bVo%3d",111,0.000985525093719322
"107","D'Evelyn (Skuber)",5,2,"High School","Boys","Lakewood","CO","/teams/events/Eventteam/?TeamId=H4UqWLXOSmHBEpGZuVK3%2b0rXoBEMHe0zQYYHsMf%2bgZs%3d",38,0.000627621400087148
"108","Fox Valley Fusion B-B (Fox Valley Fusion B)",3,5,"High School","Boys","Algonquin","IL","/teams/events/Eventteam/?TeamId=s2z%2fi9rIih%2bEUlpXObyyfC5xfQv5J2TarginIyef98A%3d",56,0.000533527557694869
"109","Jefferson County Open School (Catch of the Day)",4,2,"High School","Boys","Lakewood","CO","/teams/events/Eventteam/?TeamId=U2clSY2o1CN%2f7UTiMiaEjJX3mvS%2b8KL3kGThxg2k0uQ%3d",70,0.000492537558153521
"110","Cherry Creek High School (El Oso)",4,0,"High School","Boys","Englewood","CO","/teams/events/Eventteam/?TeamId=nc5dS%2fdg4QdGcxAyt67vsIZOpMki55b2MFHqP%2fBB23U%3d",31,0.000413687017959522
"111","StXavier / Fox Chapel (FoXavier)",0,5,"High School","Boys","Cincinnati","OH","/teams/events/Eventteam/?TeamId=V3u9QH%2f%2bCRqEw85CmgPtDRp6xzzdqZ%2fH6BjSqp%2f4G7U%3d",121,0.000364098487361818
"112","Westlake High School (Thunder Ultimate)",1,2,"High School","Boys","Saratoga Springs","UT","/teams/events/Eventteam/?TeamId=jvOCKmK%2bKICXnKPQg7OoPkEuxWXfUv4UMiNE%2fGS1kpU%3d",134,0.000331287383387604
"113","Air Academy (Elevation)",2,2,"High School","Boys","Colorado Springs","CO","/teams/events/Eventteam/?TeamId=9ZM%2fU%2fCExKmDa8FZcYc9aTItRMNsDJq6VxhzmmocKho%3d",1,0.00027023548010437
"114","Colorado Academy (Mustangs - Boys)",1,2,"High School","Boys","Denver","CO","/teams/events/Eventteam/?TeamId=AQlR1k4VH%2b%2f4V%2bLOcJoW8gqKzdNFPeNVosbPzT9uUic%3d",32,0.000116545517019852
"115","Denver School of Science & Technology (DSST)",3,2,"High School","Boys","Denver","CO","/teams/events/Eventteam/?TeamId=QcykNCGzGKFuEfgtgf6vhwcB1jcH8AmTFYOwhS947do%3d",41,0.00010692151494462
"116","Chatfield Senior High School (Highest Bidders)",2,5,"High School","Boys","Littleton","CO","/teams/events/Eventteam/?TeamId=bFKNEnVxR9wohVTcfODGIPC7Es1aaA%2buZ%2fnAWVNoGU8%3d",30,9.85322873614565e-05
"117","Lakewood High School-B (Lakewood DEEP)",2,8,"High School","Boys","Lakewood","CO","/teams/events/Eventteam/?TeamId=yrrKoyWp1HaPA3YkLVs%2bHdQi7uMs0s8RrZVYOagXOc0%3d",79,9.80867368526538e-05
"118","Geneva (Vikings)",1,3,"High School","Boys","Geneva","IL","/teams/events/Eventteam/?TeamId=u%2f6d6AhrexhYTExEGASc67XP1to9Py1QJSUPiv4n5tc%3d",58,8.3447702816983e-05
"119","Center Grove High School-B (Trojans)",0,9,"High School","Boys","Greenwood","IN","/teams/events/Eventteam/?TeamId=NCkj%2fvFzRFvKUjlKhAzw1AKJ0EKS%2bT5y01AqD3F45AA%3d",25,2.92336576220417e-05
"120","East High School-B (Denver East Open)",1,5,"High School","Boys","Denver","CO","/teams/events/Eventteam/?TeamId=WGbtcc73rCEaSNJVNyHjoF4Dn8NCufgNxs3xD0fPmZA%3d",47,1.02376340644794e-05
"121","Bloomington High school South (Bloomington Bullets)",2,1,"High School","Boys","Bloomington","IN","/teams/events/Eventteam/?TeamId=LCIr4W80eowFh%2f%2bEz4mK7ydKXmDZX18Gc1fpr%2b8BGMw%3d",11,9.83779011604459e-06
"122","Arapahoe High School (Arapahoe Warriors)",1,4,"High School","Boys","Littleton","CO","/teams/events/Eventteam/?TeamId=z1zB7UMRveqhSq0hySLkjtV3HJWhc13VqNZbj7ROsms%3d",4,9.34605696551691e-06
"123","Monarch C Boys (Monarch C Boys)",1,4,"High School","Boys","Louisville","CO","/teams/events/Eventteam/?TeamId=4yFiERip6drzBqh0TC8mC%2fAOJRRoGxAzD0kz641UMFM%3d",97,4.34284478790112e-06
